,id,name,amenity,geometry
88,2074844644,Tienda de Café,cafe,POINT (-58.3764764 -34.6032494)
89,2075053216,Tienda de Café,cafe,POINT (-58.377574 -34.6086284)
90,2075062352,Import,cafe,POINT (-58.3801586 -34.6091157)
91,2075595513,Bar Dorrego,cafe,POINT (-58.371309 -34.620613)
92,2075595605,Starbucks,cafe,POINT (-58.3713217 -34.6207313)
93,2085730095,Starbucks,cafe,POINT (-58.3748359 -34.6079344)
94,2086715081,Petit Bon Bon,cafe,POINT (-58.4136773 -34.5948006)
95,2092298114,Tienda de Café,cafe,POINT (-58.4564669 -34.5603555)
96,2104323883,Havanna,cafe,POINT (-58.4529829 -34.5600319)
97,2115076831,La Panadería,cafe,POINT (-58.4246819 -34.5793967)
98,2132671071,Trama,cafe,POINT (-58.456534 -34.5606025)
99,2132673167,Rox,cafe,POINT (-58.4708917 -34.5458208)
100,2135016618,Faricci,cafe,POINT (-58.4129553 -34.5856719)
101,2135031236,Piacere,cafe,POINT (-58.4109932 -34.5853594)
102,2135080660,Tienda de café,cafe,POINT (-58.4135386 -34.5834747)
103,2142825900,Café Martínez,cafe,POINT (-58.3827425 -34.60298)
104,2142825906,Bonafide,cafe,POINT (-58.3877255 -34.6042559)
105,2147911078,Faricci,cafe,POINT (-58.4475126 -34.5748027)
106,2153013030,Colette,cafe,POINT (-58.3923193 -34.5837567)
107,2175216097,Havanna,cafe,POINT (-58.4570278 -34.5635309)
108,2179910085,Küne,cafe,POINT (-58.4747843 -34.5417384)
109,2199806368,Havanna,cafe,POINT (-58.4468063 -34.5580169)
110,2199807169,Quo Vadis,cafe,POINT (-58.4525996 -34.5592601)
111,2199808430,Havanna,cafe,POINT (-58.4622096 -34.5561635)
112,2211568531,Coppelia,cafe,POINT (-58.4515187 -34.5545687)
113,2211874248,Lo de Guille,cafe,POINT (-58.4511459 -34.5549628)
114,2213105442,Downtown Deli,cafe,POINT (-58.4555695 -34.5649173)
115,2213105444,Crisol,cafe,POINT (-58.4558665 -34.5645275)
116,2229510688,Sweetly,cafe,POINT (-58.4044184 -34.5910721)
117,2253878081,Central Pan,cafe,POINT (-58.4596368 -34.555474)
118,2253880287,Café Sur,cafe,POINT (-58.4614813 -34.5551338)
119,2253887649,Frida,cafe,POINT (-58.4683207 -34.5491552)
120,2259136187,Lately,cafe,POINT (-58.4476867 -34.5586693)
121,2259163418,Ristretto,cafe,POINT (-58.4098452 -34.589042)
122,2259164773,Café Martínez,cafe,POINT (-58.4484579 -34.5679373)
123,2261736940,Sucre,cafe,POINT (-58.4519996 -34.5622275)
124,2266519440,Moisha,cafe,POINT (-58.3983414 -34.5896989)
125,2266519443,Mooi,cafe,POINT (-58.398193 -34.5894525)
126,2276890198,Broa,cafe,POINT (-58.4773047 -34.5428275)
127,2276890431,Madrid,cafe,POINT (-58.4625442 -34.5558497)
128,2276927125,La Tolva,cafe,POINT (-58.4037653 -34.5941789)
129,2279653168,Café del Doge,cafe,POINT (-58.4612224 -34.5562999)
130,2286733390,La Tolva,cafe,POINT (-58.4376375 -34.6141223)
131,2294953082,Bien de Bien,cafe,POINT (-58.5010211 -34.5922889)
132,2294955734,Centro de Estudiantes,cafe,POINT (-58.4790282 -34.5944912)
133,2294956107,N/A,cafe,POINT (-58.4786153 -34.5951979)
134,2299673342,Bar - Café - Minutas,cafe,POINT (-58.4365953 -34.5983127)
135,2299878034,Balcarce,cafe,POINT (-58.4391568 -34.5986955)
136,2299878037,T'Cocino,cafe,POINT (-58.4392783 -34.598577)
137,2302763541,Café Martínez,cafe,POINT (-58.376281 -34.6085321)
138,2309602891,Nobiru,cafe,POINT (-58.4500166 -34.5564981)
139,2322582296,Starbucks,cafe,POINT (-58.4495541 -34.5548239)
140,2330051490,Bonafide,cafe,POINT (-58.4053513 -34.5901538)
141,2330170840,Café San Miguel,cafe,POINT (-58.4013697 -34.5926945)
142,2354862735,Tienda de Café,cafe,POINT (-58.4792363 -34.5791354)
143,2366177608,Havanna,cafe,POINT (-58.4004573 -34.5900157)
144,2366184711,Starbucks,cafe,POINT (-58.4004978 -34.5908132)
145,2386495800,Mc Nor,cafe,POINT (-58.4131479 -34.5835055)
146,2397658437,Cigar Point,cafe,POINT (-58.464214 -34.5534868)
147,2403047986,Starbucks,cafe,POINT (-58.4830146 -34.5765955)
148,2409387666,Súper Wok,cafe,POINT (-58.4665391 -34.5398232)
149,2426205468,Café Martínez,cafe,POINT (-58.4779452 -34.5343046)
150,2434259448,Café Martínez,cafe,POINT (-58.3705038 -34.6127707)
151,2448333883,New Coffe,cafe,POINT (-58.4648173 -34.5535288)
152,2452509563,La Unión,cafe,POINT (-58.4776892 -34.5630988)
153,2466174608,Confitería del Botánico,cafe,POINT (-58.4165211 -34.5845953)
154,2466174625,Havanna,cafe,POINT (-58.409514 -34.5896936)
155,2470336633,Delicity,cafe,POINT (-58.4613797 -34.564962)
156,2470337309,Diva,cafe,POINT (-58.4587347 -34.5615355)
157,2472966373,Havanna,cafe,POINT (-58.3713222 -34.6204833)
158,2472966374,Iceland,cafe,POINT (-58.371524 -34.6207571)
159,2472966380,Café del Arbol,cafe,POINT (-58.3717402 -34.6207335)
160,2489471291,Il Vecchio,cafe,POINT (-58.4528916 -34.5641936)
161,2511119724,Café Martínez,cafe,POINT (-58.4512179 -34.5632029)
162,2511119725,Havanna,cafe,POINT (-58.4514298 -34.5633359)
163,2533704008,Starbucks,cafe,POINT (-58.4885486 -34.5460471)
164,2554648405,Bar Seddon,cafe,POINT (-58.3718043 -34.6159225)
165,2567416378,Fileteados Porteños Club de Café,cafe,POINT (-58.3716368 -34.6196227)
166,2578935198,Te adoro García,cafe,POINT (-58.4488591 -34.5744074)
167,2588555416,Tienda de Café,cafe,POINT (-58.4735682 -34.5441764)
168,2601183851,Romero,cafe,POINT (-58.4611396 -34.6206299)
169,2620216029,Coffee town,cafe,POINT (-58.3726074 -34.6192881)
170,2621157048,La Dignidas,cafe,POINT (-58.4321274 -34.6016614)
171,2643722218,Musel,cafe,POINT (-58.38007 -34.618552)
172,2654314478,Jimbo,cafe,POINT (-58.4239988 -34.6026924)
173,2665183488,Cabildo de Buenos Aires,cafe,POINT (-58.3747462 -34.6090577)
174,2703921839,Tostado,cafe,POINT (-58.4613251 -34.5570664)
175,2704874881,Biblos,cafe,POINT (-58.3841707 -34.5957102)
176,2709811222,Café de los Angelitos,cafe,POINT (-58.3961548 -34.6096157)
177,2711072591,Café Martínez,cafe,POINT (-58.4215743 -34.5976088)
178,2711078138,La Tolva,cafe,POINT (-58.4158075 -34.5977458)
179,2711118962,Tienda de Café,cafe,POINT (-58.403851 -34.5982321)
180,2716263398,Havanna,cafe,POINT (-58.3748859 -34.5993038)
181,2720197394,Nonna Bianca,cafe,POINT (-58.3719253 -34.6184248)
182,2722427892,Pride Café,cafe,POINT (-58.3702855 -34.6178752)
183,2729149195,Fayer,cafe,POINT (-58.4200879 -34.5761646)
184,2734380699,Pista Urbana,cafe,POINT (-58.3758005 -34.6182619)
185,2734408318,La Peruana,cafe,POINT (-58.3759144 -34.6186767)
186,2745892941,Marula,cafe,POINT (-58.4035857 -34.6380663)
187,2778811554,La Barcelonesa,cafe,POINT (-58.4126233 -34.5936309)
188,2791239050,Starbucks,cafe,POINT (-58.4105232 -34.5809342)
189,2791606749,Starbucks,cafe,POINT (-58.4062332 -34.5778443)
190,2791678440,Simona,cafe,POINT (-58.4139042 -34.5815947)
191,2791688633,Almacen de Pizzas,cafe,POINT (-58.4119747 -34.5794421)
192,2795178969,N/A,cafe,POINT (-58.4148743 -34.5947371)
